User ID,Age,Gender,Height (cm),Weight (kg),Workout Type,Workout Duration (mins),Calories Burned,Heart Rate (bpm),Steps Taken,Distance (km),Workout Intensity,Sleep Hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),VO2 Max,Body Fat (%),Mood Before Workout,Mood After Workout,HRmax,HR%,TLI,MET,WEI
N/A,N/A,N/A,N/A,N/A,N/A,53.57,445,123.3,0,0,N/A,N/A,N/A,N/A,76,N/A,N/A,N/A,N/A,N/A,,,,
N/A,N/A,N/A,N/A,N/A,N/A,53.57,445,123.3,0,0,N/A,N/A,N/A,N/A,76,N/A,N/A,N/A,N/A,N/A,,,,
N/A,23,N/A,N/A,N/A,Running,53.57,445,123.3,0,0,N/A,N/A,N/A,N/A,76,N/A,N/A,N/A,N/A,N/A,,,,
N/A,23,N/A,N/A,N/A,Running,53.57,445,123.3,0,0.1,N/A,N/A,N/A,N/A,76,N/A,N/A,N/A,N/A,N/A,,,,
N/A,23,N/A,N/A,N/A,Running,53.57,445,123.3,0,0.1,N/A,N/A,N/A,N/A,76,N/A,N/A,N/A,N/A,N/A,,,,
N/A,23,N/A,N/A,N/A,Running,53.57,445,123.3,0,0.1,N/A,N/A,N/A,N/A,76,N/A,N/A,N/A,N/A,N/A,,,,
N/A,23,N/A,N/A,N/A,Running,53.57,445,123.3,0,0.1,N/A,N/A,N/A,N/A,76,N/A,N/A,N/A,N/A,N/A,,,,
